[B	민준	1	39408	39408
, B	서준	2	37786	37786
, B	도윤	3	36825	36825
, G	서연	3	36825	36327
, G	서윤	5	36327	31748
, G	지우	6	31748	30060
, B	예준	7	30060	29362
, G	서현	8	29362	28685
, G	하은	9	28685	28645
, G	하윤	10	28645	28498
, B	시우	11	28498	28024
, G	민서	12	28024	27199
, B	하준	13	27199	26665
, B	주원	14	26665	26130
, B	지호	15	26130	24231
, G	지유	16	24231	23761
, G	윤서	17	23761	23328
, B	지후	18	23328	22908
, B	준우	19	22908	22707
, G	지민	20	22707	22392
, B	준서	21	22392	22365
, G	채원	22	22365	22011
, G	수아	23	22011	21532
, B	건우	24	21532	21468
, B	도현	25	21468	21215
, B	현우	26	21215	20919
, G	지아	27	20919	20904
, G	지윤	28	20904	20830
, G	은서	29	20830	20652
, B	지훈	30	20652	20575
, G	다은	31	20575	20313
, B	우진	32	20313	19516
, G	예은	33	19516	18840
, B	선우	34	18840	18544
, G	수빈	35	18544	18473
, G	지안	36	18473	18388
, G	소율	37	18388	17679
, G	예린	38	17679	17420
, B	서진	39	17420	17400
, G	예원	40	17400	17387
, G	하린	41	17387	17189
, B	유준	42	17189	17089
, B	연우	43	17089	17077
, G	지원	44	17077	16758
, G	소윤	45	16758	16658
, G	서아	46	16658	16606
, B	민재	47	16606	16430
, B	현준	48	16430	15958
, B	은우	49	15958	15372
, G	시은	50	15372	15323
, G	유나	51	15323	15259
, G	유진	52	15259	14826
, G	채은	53	14826	14781
, B	정우	54	14781	14403
, G	윤아	55	14403	14238
, G	가은	56	14238	13992
, B	시윤	57	13992	13902
, G	서영	58	13902	13686
, G	민지	59	13686	13599
, B	승우	60	13599	13551
, B	승현	61	13551	13514
, G	예진	62	13514	13431
, B	준혁	63	13431	13404
, B	지환	64	13404	13259
, G	예나	65	13259	13176
, G	수민	66	13176	12900
, G	수연	67	12900	12813
, G	연우	68	12813	12616
, G	시아	69	12616	12551
, G	아린	70	12551	12523
, B	윤우	71	12523	12438
, B	승민	72	12438	12437
, G	예서	73	12437	12391
, B	유찬	74	12391	12380
, B	지우	75	12380	12324
, B	이준	76	12324	12304
, G	주아	77	12304	11912
, G	하율	78	11912	11820
, G	시연	79	11820	11801
, B	민성	80	11801	11610
, G	연서	81	11610	11483
, B	준영	82	11483	11451
, G	다인	83	11451	11422
, B	시후	84	11422	11322
, B	진우	85	11322	11234
, G	서우	86	11234	11156
, G	유주	87	11156	11079
, B	수호	88	11079	11038
, G	다연	89	11038	11033
, B	지원	90	11033	10971
, G	아인	91	10971	10895
, B	수현	92	10895	10856
, G	현서	93	10856	10829
, G	아윤	94	10829	10759
, G	서은	95	10759	10342
, G	채윤	96	10342	10287
, G	하연	97	10287	10280
, G	서율	98	10280	10247
, G	서진	99	10247	10166
, G	유빈	100	10166	10159
, G	나윤	101	10159	10139
, G	지율	102	10139	10112
, G	나은	103	10112	9988
, G	수현	104	9988	9809
, G	예지	105	9809	9722
, G	다현	106	9722	9489
, B	재윤	107	9489	9469
, G	서하	108	9469	9427
, B	시현	109	9427	9393
, B	동현	110	9393	9171
, B	태윤	111	9171	9154
, B	이안	112	9154	9056
, G	소은	113	9056	9029
, B	민규	114	9029	9024
, G	나연	115	9024	9003
, G	지은	116	9003	8936
, G	민주	117	8936	8904
, B	한결	118	8904	8877
, B	재원	119	8877	8845
, B	민우	120	8845	8833
, G	사랑	121	8833	8747
, G	시현	122	8747	8714
, G	예빈	123	8714	8685
, B	재민	124	8685	8682
, G	윤지	125	8682	8680
, B	은찬	126	8680	8620
, B	윤호	127	8620	8593
, B	시원	128	8593	8564
, G	지현	129	8564	8524
, G	소연	130	8524	8397
, G	채아	131	8397	8356
, B	민찬	132	8356	8137
, G	혜원	133	8137	8132
, B	지안	134	8132	8108
, G	지수	135	8108	8106
, G	은채	136	8106	8050
, G	주하	137	8050	7886
, B	시온	138	7886	7852
, B	성민	139	7852	7800
, G	승아	140	7800	7727
, B	준호	141	7727	7702
, B	승준	142	7702	7667
, B	성현	143	7667	7558
, G	다윤	144	7558	7502
, B	현서	145	7502	7434
, G	소민	145	7502	7402
, B	재현	147	7434	7365
, G	서희	148	7402	7363
, G	나현	149	7365	7362
, B	하율	150	7363	7355
, G	채린	151	7362	7332
, G	민아	152	7355	7289
, B	지한	153	7332	7288
, B	우빈	154	7289	7257
, G	하영	155	7288	7251
, G	세아	156	7257	7249
, B	태민	157	7251	7219
, B	지성	158	7249	7214
, B	예성	159	7219	7183
, G	세은	160	7214	7173
, B	민호	161	7183	7149
, B	태현	162	7173	7143
, B	지율	163	7149	7112
, B	서우	164	7143	7103
, G	도연	165	7112	7091
, B	민혁	166	7103	7075
, G	규리	167	7091	6915
, G	아영	168	7075	6895
, B	은호	169	6915	6839
, B	성준	170	6895	6766
, G	다온	171	6839	6738
, B	규민	172	6766	6707
, B	정민	173	6738	6696
, B	준	174	6707	6679
, B	지민	175	6696	6671
, G	가윤	176	6679	6670
, B	윤성	177	6671	6626
, G	지연	178	6670	6563
, G	예림	179	6626	6539
, B	율	180	6563	6460
, B	윤재	181	6539	6444
, G	태희	182	6460	6394
, B	우주	183	6444	6393
, G	민채	183	6444	6356
, B	하람	185	6394	6349
, B	하진	186	6393	6296
, B	민석	187	6356	6271
, B	준수	188	6349	6247
, B	은성	189	6296	6105
, B	태양	190	6271	5958
, B	예찬	191	6247	5836
, B	준희	192	6105	5688
, B	도훈	193	5958	5673
, B	하민	194	5836	5610
, B	준성	195	5688	5603
, B	건	196	5673	5565
, B	지완	197	5610	5540
, B	현수	198	5603	
, B	승원	199	5565	
, B	강민	200	5540	
]
